NO,Kode Accurate,NAMA BARANG,STATUS,CP,SP,PRICE,TANGGAL UPDATE,KATEGORI,NAMA BRAND,Stok Sistem,NON AKTIF
2369,2511000120,"NEW MONITOR DIGITAL ALLIANCE DA25-GAM200 25"" FHD 180HZ",READY,"Rp1.243.243,00","Rp1.500.000,00","Rp1.350.000,00",30/12/2025,"MONITOR 25""",DIGITAL ALLIANCE,6,TIDAK
2370,2504000064,NEW MONITOR DIGITAL ALLIANCE DA25-RE200 24.5 INCH FLAT IPS PANEL 200HZ - BLACK,READY,"Rp1.318.918,00","Rp1.650.000,00","Rp1.500.000,00",16/12/2025,"MONITOR 25""",DIGITAL ALLIANCE,5,TIDAK
2371,2504000065,NEW MONITOR DIGITAL ALLIANCE DA25-RE200 24.5 INCH FLAT IPS PANEL 200HZ - WHITE,KOSONG,,,,,"MONITOR 25""",DIGITAL ALLIANCE,,TIDAK
2372,2511000122,"NEW MONITOR DIGITAL ALLIANCE DA27 27"" IPS 240HZ",KOSONG,,,,,"MONITOR 27""",DIGITAL ALLIANCE,,TIDAK
2373,2504000424,NEW MONITOR DIGITAL ALLIANCE LED FLAT IPS PANEL 24.5 INCH 200HZ BLACK,KOSONG,,,,,"MONITOR 25""",DIGITAL ALLIANCE,,TIDAK
2374,2504000423,NEW MONITOR DIGITAL ALLIANCE LED FLAT IPS PANEL 24.5 INCH 200HZ WHITE,KOSONG,,,,,"MONITOR 25""",DIGITAL ALLIANCE,,TIDAK
2375,2506000022,NEW MONITOR ENLIGHT 27EN2K-RB 180MHZ 27 INCH RGB,KOSONG,,,,,"MONITOR 27""",ENLIGHT,,TIDAK
2376,2506000023,NEW MONITOR ENLIGHT 27ENP-B 180MHZ 27 INCH IPS PANEL RGB,READY,"Rp1.846.847,00","Rp2.050.000,00","Rp1.950.000,00",16/12/2025,"MONITOR 27""",ENLIGHT,1,TIDAK
2377,2506000021,NEW MONITOR ENLIGHT 32ENS-B 165MHZ 32 INCH IPS WQHD,KOSONG,,,,,"MONITOR 32""",ENLIGHT,,TIDAK
2378,2511000177,"NEW MONITOR GIGABYTE GS25F2 25"" FHD IPS 200HZ",READY,"Rp1.261.261,00","Rp1.598.000,00","Rp1.400.000,00",30/12/2025,"MONITOR 25""",GIGABYTE,8,TIDAK
2379,2511000176,"NEW MONITOR GIGABYTE GS27FA 27"" FHD IPS 180HZ",READY,"Rp1.351.351,00","Rp1.829.000,00","Rp1.600.000,00",30/12/2025,"MONITOR 27""",GIGABYTE,7,TIDAK
2380,2505000102,NEW MONITOR HISENSE 43 INCH LED FHD A4200G 43A4200G ANDROIDTV,KOSONG,,,,,,HISENSE,,TIDAK
2381,2503000143,"NEW MONITOR LED LENOVO L22E-40 21,5 INCH WHITE",KOSONG,,,,,"MONITOR 22""",LENOVO,,TIDAK
